time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
16:22:42:557,"-0,1212","0,5111","0,8531","0,00000000","0,00000000","0,00000000",
16:22:42:667,"-0,1212","0,5111","0,8531","0,00000000","0,00000000","0,00000000",
16:22:42:700,"-0,1534","0,5130","0,8297","0,00000000","0,00000000","0,00000000",
16:22:42:859,"-0,1524","0,5336","0,8375","0,00000000","0,00000000","0,00000000",
16:22:42:969,"-0,1524","0,5336","0,8375","0,00000000","0,00000000","0,00000000",
16:22:43:019,"-0,1603","0,5130","0,7681","0,00000000","0,00000000","0,00000000",
16:22:43:126,"-0,1603","0,5130","0,7681","0,00000000","0,00000000","0,00000000",
16:22:43:179,"-0,1192","0,3205","0,6264","0,00000000","0,00000000","0,00000000",
16:22:43:284,"-0,1192","0,3205","0,6264","0,00000000","0,00000000","0,00000000",
16:22:43:338,"-0,2775","0,7192","1,0251","0,00000000","0,00000000","0,00000000",
16:22:43:439,"-0,2775","0,7192","1,0251","0,00000000","0,00000000","0,00000000",
16:22:43:497,"-0,6108","0,3323","0,7339","0,00000000","0,00000000","0,00000000",
16:22:43:600,"-0,6108","0,3323","0,7339","0,00000000","0,00000000","0,00000000",
16:22:43:659,"-0,4270","0,3450","0,7280","0,00000000","0,00000000","0,00000000",
16:22:43:756,"-0,4270","0,3450","0,7280","0,00000000","0,00000000","0,00000000",
16:22:43:818,"-0,3840","0,3303","0,8512","0,00000000","0,00000000","0,00000000",
16:22:43:911,"-0,3840","0,3303","0,8512","0,00000000","0,00000000","0,00000000",
16:22:43:984,"0,0274","0,3323","0,9772","0,00000000","0,00000000","0,00000000",
16:22:44:066,"0,0274","0,3323","0,9772","0,00000000","0,00000000","0,00000000",
16:22:44:134,"0,2775","0,3205","0,9890","0,00000000","0,00000000","0,00000000",
16:22:44:223,"0,2775","0,3205","0,9890","0,00000000","0,00000000","0,00000000",
16:22:44:296,"-0,0205","0,3264","0,8873","0,00000000","0,00000000","0,00000000",
16:22:44:429,"-0,0205","0,3264","0,8873","0,00000000","0,00000000","0,00000000",
16:22:44:458,"0,0059","0,1739","1,1033","0,00000000","0,00000000","0,00000000",
16:22:44:615,"0,0889","-0,0362","0,7857","0,00000000","0,00000000","0,00000000",
16:22:44:646,"0,0889","-0,0362","0,7857","0,00000000","0,00000000","0,00000000",
16:22:44:774,"0,4114","0,0293","1,0476","0,00000000","0,00000000","0,00000000",
16:22:44:931,"0,4368","0,0420","0,6899","0,00000000","0,00000000","0,00000000",
16:22:45:090,"0,2941","0,0821","0,7613","0,00000000","0,00000000","0,00000000",
16:22:45:252,"0,0440","0,0635","1,0085","0,00000000","0,00000000","0,00000000",
16:22:45:411,"0,0743","0,0567","0,9352","0,00000000","0,00000000","0,00000000",
16:22:45:571,"-0,0528","0,0948","0,9606","0,00000000","0,00000000","0,00000000",
16:22:45:632,"-0,0528","0,0948","0,9606","0,00000000","0,00000000","0,00000000",
16:22:45:729,"-0,1739","0,0880","0,9450","0,00000000","0,00000000","0,00000000",
16:22:45:841,"-0,1739","0,0880","0,9450","0,00000000","0,00000000","0,00000000",
16:22:45:889,"-0,1954","0,1446","0,9626","0,00000000","0,00000000","0,00000000",
16:22:46:046,"-0,2013","0,1065","0,9518","0,00000000","0,00000000","0,00000000",
16:22:46:205,"-0,1700","0,1046","0,9518","0,00000000","0,00000000","0,00000000",
16:22:46:257,"-0,1700","0,1046","0,9518","0,00000000","0,00000000","0,00000000",
16:22:46:364,"-0,1700","0,0889","0,9499","0,00000000","0,00000000","0,00000000",
16:22:46:524,"-0,1720","0,0860","0,9499","0,00000000","0,00000000","0,00000000",
16:22:46:684,"-0,1984","0,0283","0,9675","0,00000000","0,00000000","0,00000000",
16:22:46:843,"-0,1984","-0,0479","0,9645","0,00000000","0,00000000","0,00000000",
16:22:47:003,"-0,2541","-0,0098","0,9753","0,00000000","0,00000000","0,00000000",
16:22:47:162,"-0,2482","0,0117","0,9587","0,00000000","0,00000000","0,00000000",
16:22:47:322,"-0,2375","0,0283","0,9792","0,00000000","0,00000000","0,00000000",
16:22:47:482,"-0,2287","-0,0362","0,9547","0,00000000","0,00000000","0,00000000",
16:22:47:610,"-0,2287","-0,0362","0,9547","0,00000000","0,00000000","0,00000000",
16:22:47:641,"-0,2551","-0,0195","0,9821","0,00000000","0,00000000","0,00000000",
16:22:47:797,"-0,2551","-0,0410","0,9821","0,00000000","0,00000000","0,00000000",
16:22:47:872,"-0,2551","-0,0410","0,9821","0,00000000","0,00000000","0,00000000",
16:22:47:957,"-0,2570","-0,0674","0,9811","0,00000000","0,00000000","0,00000000",
16:22:48:116,"-0,2306","-0,0557","0,9655","0,00000000","0,00000000","0,00000000",
16:22:48:278,"-0,2169","0,0147","0,9723","0,00000000","0,00000000","0,00000000",
16:22:48:438,"-0,2062","0,0450","0,9508","0,00000000","0,00000000","0,00000000",
16:22:48:597,"-0,2062","0,0440","0,9489","0,00000000","0,00000000","0,00000000",
16:22:48:756,"-0,2081","0,0166","0,9635","0,00000000","0,00000000","0,00000000",
16:22:48:913,"-0,2140","0,0000","0,9714","0,00000000","0,00000000","0,00000000",
16:22:49:075,"-0,2033","0,0635","0,9489","0,00000000","0,00000000","0,00000000",
16:22:49:234,"-0,1935","0,0635","0,9469","0,00000000","0,00000000","0,00000000",
16:22:49:393,"-0,1935","0,0655","0,9450","0,00000000","0,00000000","0,00000000",
16:22:49:551,"-0,1935","0,0665","0,9450","0,00000000","0,00000000","0,00000000",
16:22:50:028,"-0,1935","0,0674","0,9440","0,00000000","0,00000000","0,00000000",
16:22:50:187,"-0,1935","0,0665","0,9440","0,00000000","0,00000000","0,00000000",
16:22:50:506,"-0,1935","0,0665","0,9430","0,00000000","0,00000000","0,00000000",
16:22:50:666,"-0,2316","0,0537","0,9870","0,00000000","0,00000000","0,00000000",
16:22:50:742,"-0,2316","0,0537","0,9870","0,00000000","0,00000000","0,00000000",
16:22:50:827,"-0,1974","0,1075","0,9196","0,00000000","0,00000000","0,00000000",
16:22:50:986,"-0,2287","0,1075","0,9420","0,00000000","0,00000000","0,00000000",
16:22:51:054,"-0,2287","0,1075","0,9420","0,00000000","0,00000000","0,00000000",
16:22:51:147,"-0,2883","0,0792","0,9401","0,00000000","0,00000000","0,00000000",
16:22:51:306,"-0,2199","0,0870","0,9381","0,00000000","0,00000000","0,00000000",
16:22:51:467,"-0,2287","0,0889","0,9274","0,00000000","0,00000000","0,00000000",
16:22:51:524,"-0,2287","0,0889","0,9274","0,00000000","0,00000000","0,00000000",
16:22:51:625,"-0,2287","0,0889","0,9440","0,00000000","0,00000000","0,00000000",
16:22:51:782,"-0,2023","0,0880","0,9420","0,00000000","0,00000000","0,00000000",
16:22:51:838,"-0,2023","0,0880","0,9420","0,00000000","0,00000000","0,00000000",
16:22:51:945,"-0,2013","0,0880","0,9420","0,00000000","0,00000000","0,00000000",
16:22:52:101,"-0,2003","0,0870","0,9440","0,00000000","0,00000000","0,00000000",
16:22:52:261,"-0,1652","0,0518","0,9704","0,00000000","0,00000000","0,00000000",
16:22:52:420,"-0,0850","-0,0127","0,9821","0,00000000","0,00000000","0,00000000",
16:22:52:580,"-0,0274","-0,0107","0,9440","0,00000000","0,00000000","0,00000000",
16:22:52:739,"-0,0850","-0,0098","0,9997","0,00000000","0,00000000","0,00000000",
16:22:52:896,"-0,0928","-0,0010","0,9772","0,00000000","0,00000000","0,00000000",
16:22:53:055,"-0,1046","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:22:53:215,"-0,1143","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:22:53:504,"-0,1143","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:22:53:536,"-0,1143","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:22:53:695,"-0,1143","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:22:54:015,"-0,1143","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:54:174,"-0,1163","0,0020","0,9753","0,00000000","0,00000000","0,00000000",
16:22:54:331,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:54:490,"-0,1153","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:22:54:650,"-0,1143","0,0010","0,9733","0,00000000","0,00000000","0,00000000",
16:22:54:809,"-0,1143","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:22:54:969,"-0,1143","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:55:128,"-0,1143","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:22:55:288,"-0,1143","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:22:55:447,"-0,1143","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:22:55:609,"-0,1143","0,0000","0,9743","0,00000000","0,00000000","0,00000000",
16:22:55:766,"-0,1143","0,0020","0,9743","0,00000000","0,00000000","0,00000000",
16:22:55:925,"-0,1163","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:56:087,"-0,1163","0,0010","0,9772","0,00000000","0,00000000","0,00000000",
16:22:56:244,"-0,1163","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:56:404,"-0,1163","0,0010","0,9733","0,00000000","0,00000000","0,00000000",
16:22:56:564,"-0,1143","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:22:56:724,"-0,1153","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:22:56:883,"-0,1153","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:22:57:043,"-0,1153","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:22:57:205,"-0,1153","0,0000","0,9733","0,00000000","0,00000000","0,00000000",
16:22:57:366,"-0,1153","0,0010","0,9733","0,00000000","0,00000000","0,00000000",
16:22:57:527,"-0,1153","0,0000","0,9811","0,00000000","0,00000000","0,00000000",
16:22:57:845,"-0,1153","0,0000","0,9743","0,00000000","0,00000000","0,00000000",
16:22:58:319,"-0,1153","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:22:58:637,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:58:796,"-0,1153","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:22:58:956,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:22:59:115,"-0,1153","0,0000","0,9743","0,00000000","0,00000000","0,00000000",
16:22:59:275,"-0,1153","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:22:59:593,"-0,1143","0,0000","0,9821","0,00000000","0,00000000","0,00000000",
16:22:59:751,"-0,1143","0,0000","0,9811","0,00000000","0,00000000","0,00000000",
16:22:59:912,"-0,1143","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:00:068,"-0,1143","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:00:387,"-0,1143","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:00:546,"-0,1153","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:00:865,"-0,1153","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:01:343,"-0,1153","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:01:504,"-0,1143","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:01:663,"-0,1153","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:01:823,"-0,1143","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:01:982,"-0,1134","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:02:142,"-0,1134","0,0000","0,9821","0,00000000","0,00000000","0,00000000",
16:23:02:301,"-0,1134","0,0000","0,9811","0,00000000","0,00000000","0,00000000",
16:23:02:461,"-0,1134","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:02:620,"-0,1134","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:02:938,"-0,1134","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:03:097,"-0,1143","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:03:417,"-0,1143","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:03:578,"-0,1134","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:03:891,"-0,1134","0,0000","0,9831","0,00000000","0,00000000","0,00000000",
16:23:04:053,"-0,1134","0,0000","0,9821","0,00000000","0,00000000","0,00000000",
16:23:04:213,"-0,1134","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:04:372,"-0,1134","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:04:531,"-0,1134","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:04:688,"-0,1134","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:04:847,"-0,1134","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:05:006,"-0,1143","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:05:168,"-0,1134","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:05:327,"-0,1143","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:05:643,"-0,1143","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:05:802,"-0,1134","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:05:965,"-0,1134","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:06:442,"-0,1134","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:06:761,"-0,1143","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:07:398,"-0,1124","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:07:556,"-0,1124","-0,0020","0,9802","0,00000000","0,00000000","0,00000000",
16:23:07:717,"-0,1124","-0,0020","0,9821","0,00000000","0,00000000","0,00000000",
16:23:07:875,"-0,1114","-0,0020","0,9841","0,00000000","0,00000000","0,00000000",
16:23:08:194,"-0,1104","-0,0020","0,9841","0,00000000","0,00000000","0,00000000",
16:23:08:354,"-0,1114","-0,0010","0,9821","0,00000000","0,00000000","0,00000000",
16:23:08:512,"-0,1114","-0,0010","0,9831","0,00000000","0,00000000","0,00000000",
16:23:08:670,"-0,1114","-0,0020","0,9850","0,00000000","0,00000000","0,00000000",
16:23:08:832,"-0,1114","-0,0010","0,9841","0,00000000","0,00000000","0,00000000",
16:23:08:988,"-0,1114","-0,0020","0,9841","0,00000000","0,00000000","0,00000000",
16:23:09:148,"-0,1114","-0,0020","0,9831","0,00000000","0,00000000","0,00000000",
16:23:09:307,"-0,1114","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:09:467,"-0,1134","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:10:104,"-0,1134","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:10:263,"-0,1134","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:10:424,"-0,1143","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:10:582,"-0,1153","0,0010","0,9762","0,00000000","0,00000000","0,00000000",
16:23:10:901,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:11:061,"-0,1153","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:23:11:221,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:11:382,"-0,1163","0,0000","0,9811","0,00000000","0,00000000","0,00000000",
16:23:11:541,"-0,1163","0,0000","0,9792","0,00000000","0,00000000","0,00000000",
16:23:11:701,"-0,1163","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:11:859,"-0,1163","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:12:019,"-0,1153","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:12:178,"-0,1163","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:12:338,"-0,1163","0,0000","0,9821","0,00000000","0,00000000","0,00000000",
16:23:12:497,"-0,1163","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:12:656,"-0,1163","0,0000","0,9743","0,00000000","0,00000000","0,00000000",
16:23:12:816,"-0,1153","0,0000","0,9743","0,00000000","0,00000000","0,00000000",
16:23:13:294,"-0,1153","0,0000","0,9802","0,00000000","0,00000000","0,00000000",
16:23:13:454,"-0,1153","0,0000","0,9782","0,00000000","0,00000000","0,00000000",
16:23:13:612,"-0,1153","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:13:772,"-0,1153","0,0020","0,9743","0,00000000","0,00000000","0,00000000",
16:23:13:932,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:14:091,"-0,1153","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:14:410,"-0,1153","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:23:14:726,"-0,1153","0,0000","0,9743","0,00000000","0,00000000","0,00000000",
16:23:14:886,"-0,1153","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:23:15:207,"-0,1153","0,0000","0,9772","0,00000000","0,00000000","0,00000000",
16:23:15:527,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:15:686,"-0,1153","0,0010","0,9733","0,00000000","0,00000000","0,00000000",
16:23:15:842,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:16:002,"-0,1153","0,0010","0,9772","0,00000000","0,00000000","0,00000000",
16:23:16:320,"-0,1153","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:16:481,"-0,1153","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:23:16:805,"-0,1163","0,0010","0,9762","0,00000000","0,00000000","0,00000000",
16:23:16:963,"-0,1163","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:17:284,"-0,1163","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:23:17:439,"-0,1153","0,0000","0,9753","0,00000000","0,00000000","0,00000000",
16:23:17:598,"-0,1153","0,0000","0,9762","0,00000000","0,00000000","0,00000000",
16:23:18:076,"-0,1163","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:23:18:236,"-0,1163","0,0010","0,9733","0,00000000","0,00000000","0,00000000",
16:23:18:395,"-0,1163","0,0020","0,9723","0,00000000","0,00000000","0,00000000",
16:23:18:714,"-0,1163","0,0029","0,9723","0,00000000","0,00000000","0,00000000",
16:23:18:874,"-0,1163","0,0029","0,9743","0,00000000","0,00000000","0,00000000",
16:23:19:193,"-0,1163","0,0029","0,9733","0,00000000","0,00000000","0,00000000",
16:23:19:351,"-0,1173","0,0020","0,9733","0,00000000","0,00000000","0,00000000",
16:23:19:668,"-0,1163","0,0020","0,9723","0,00000000","0,00000000","0,00000000",
16:23:19:828,"-0,1163","0,0029","0,9723","0,00000000","0,00000000","0,00000000",
16:23:19:987,"-0,1163","0,0020","0,9723","0,00000000","0,00000000","0,00000000",
16:23:20:147,"-0,1163","0,0010","0,9723","0,00000000","0,00000000","0,00000000",
16:23:20:308,"-0,1163","0,0029","0,9714","0,00000000","0,00000000","0,00000000",
16:23:20:467,"-0,1173","0,0020","0,9733","0,00000000","0,00000000","0,00000000",
16:23:20:626,"-0,1173","0,0020","0,9753","0,00000000","0,00000000","0,00000000",
16:23:20:786,"-0,1173","0,0010","0,9753","0,00000000","0,00000000","0,00000000",
16:23:20:943,"-0,1163","0,0010","0,9743","0,00000000","0,00000000","0,00000000",
16:23:21:103,"-0,1163","0,0010","0,9733","0,00000000","0,00000000","0,00000000",
16:23:21:262,"-0,1163","0,0029","0,9723","0,00000000","0,00000000","0,00000000",
16:23:21:422,"-0,1163","0,0029","0,9714","0,00000000","0,00000000","0,00000000",
16:23:21:743,"-0,1173","0,0029","0,9723","0,00000000","0,00000000","0,00000000",
16:23:21:907,"-0,1163","0,0029","0,9743","0,00000000","0,00000000","0,00000000",
16:23:22:062,"-0,1173","0,0020","0,9743","0,00000000","0,00000000","0,00000000",
16:23:22:224,"-0,1163","0,0029","0,9723","0,00000000","0,00000000","0,00000000",
16:23:22:381,"-0,1173","0,0029","0,9704","0,00000000","0,00000000","0,00000000",
16:23:22:540,"-0,1173","0,0029","0,9694","0,00000000","0,00000000","0,00000000",
16:23:22:698,"-0,1173","0,0029","0,9714","0,00000000","0,00000000","0,00000000",
16:23:22:859,"-0,1182","0,0039","0,9714","0,00000000","0,00000000","0,00000000",
16:23:23:019,"-0,1182","0,0029","0,9714","0,00000000","0,00000000","0,00000000",
16:23:23:345,"-0,1182","0,0029","0,9723","0,00000000","0,00000000","0,00000000",
