time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
10:38:46:154,"-0,0635","0,6372","0,7095","-23,46228521","-46,60392512","1,50000000",
10:38:46:155,"-0,0635","0,6372","0,7095","-23,46228521","-46,60392512","1,50000000",
10:38:46:255,"-0,1202","0,5707","0,7603","-23,46228521","-46,60392512","1,50000000",
10:38:46:414,"-0,1222","0,5170","0,6352","-23,46228521","-46,60392512","1,50000000",
10:38:46:459,"-0,1222","0,5170","0,6352","-23,46228521","-46,60392512","1,50000000",
10:38:46:572,"-0,1388","0,3352","0,5883","-23,46228521","-46,60392512","1,50000000",
10:38:46:616,"-0,1388","0,3352","0,5883","-23,46228521","-46,60392512","1,50000000",
10:38:46:731,"-0,0264","0,1046","1,3163","-23,46228521","-46,60392512","1,50000000",
10:38:46:774,"-0,0264","0,1046","1,3163","-23,46228521","-46,60392512","1,50000000",
10:38:46:890,"0,2551","-0,2941","1,0642","-23,46228521","-46,60392512","1,50000000",
10:38:46:929,"0,2551","-0,2941","1,0642","-23,46228521","-46,60392512","1,50000000",
10:38:47:051,"0,4867","-0,1964","0,8551","-23,46228521","-46,60392512","1,50000000",
10:38:47:086,"0,4867","-0,1964","0,8551","-23,46228521","-46,60392512","1,50000000",
10:38:47:207,"0,0713","-0,3156","1,1072","-23,46228521","-46,60392512","1,50000000",
10:38:47:242,"0,0713","-0,3156","1,1072","-23,46228521","-46,60392512","1,50000000",
10:38:47:368,"0,1378","-0,0977","0,7720","-23,46228521","-46,60392512","1,50000000",
10:38:47:399,"0,1378","-0,0977","0,7720","-23,46228521","-46,60392512","1,50000000",
10:38:47:527,"0,6176","-0,1495","0,9147","-23,46228521","-46,60392512","1,50000000",
10:38:47:684,"0,5130","-0,0508","0,6645","-23,46228521","-46,60392512","1,50000000",
10:38:47:765,"0,5130","-0,0508","0,6645","-23,46228521","-46,60392512","1,50000000",
10:38:47:842,"0,3440","-0,1251","0,8551","-23,46228521","-46,60392512","1,50000000",
10:38:47:974,"0,3440","-0,1251","0,8551","-23,46228521","-46,60392512","1,50000000",
10:38:48:001,"0,2111","-0,0332","0,8678","-23,46228521","-46,60392512","1,50000000",
10:38:48:131,"0,2111","-0,0332","0,8678","-23,46228521","-46,60392512","1,50000000",
10:38:48:159,"-0,0166","-0,0049","1,0710","-23,46228521","-46,60392512","1,50000000",
10:38:48:287,"-0,0166","-0,0049","1,0710","-23,46228521","-46,60392512","1,50000000",
10:38:48:318,"0,0342","-0,0528","1,0017","-23,46228521","-46,60392512","1,50000000",
10:38:48:482,"0,0332","-0,0713","1,0036","-23,46228521","-46,60392512","1,50000000",
10:38:48:643,"0,0332","-0,0498","1,0017","-23,46228521","-46,60392512","1,50000000",
10:38:48:802,"0,0332","-0,0420","1,0085","-23,46228521","-46,60392512","1,50000000",
10:38:48:961,"0,0137","-0,0420","1,0290","-23,46228521","-46,60392512","1,50000000",
10:38:49:024,"0,0137","-0,0420","1,0290","-23,46228521","-46,60392512","1,50000000",
10:38:49:125,"0,0156","-0,0362","1,0192","-23,46228521","-46,60392512","1,50000000",
10:38:49:179,"0,0156","-0,0362","1,0192","-23,46228521","-46,60392512","1,50000000",
10:38:49:273,"0,0596","-0,0567","0,9899","-23,46228521","-46,60392512","1,50000000",
10:38:49:432,"0,0674","-0,0342","1,0007","-23,46228521","-46,60392512","1,50000000",
10:38:49:591,"0,0674","-0,0479","1,0144","-23,46228521","-46,60392512","1,50000000",
10:38:49:749,"0,0479","-0,0293","1,0046","-23,46228521","-46,60392512","1,50000000",
10:38:49:908,"0,0489","0,0195","0,9782","-23,46228521","-46,60392512","1,50000000",
10:38:49:960,"0,0489","0,0195","0,9782","-23,46228521","-46,60392512","1,50000000",
10:38:50:067,"0,0489","0,0410","0,9616","-23,46228521","-46,60392512","1,50000000",
10:38:50:222,"0,0489","0,0410","0,9616","-23,45772144","-46,60276076","4,75000000",
10:38:50:223,"0,0665","0,0088","0,9899","-23,45772144","-46,60276076","4,75000000",
10:38:50:382,"0,0840","0,0000","0,9753","-23,45772144","-46,60276076","4,75000000",
10:38:50:543,"0,0831","0,0020","0,9821","-23,45772144","-46,60276076","4,75000000",
10:38:50:700,"0,0967","0,0020","0,9948","-23,45772144","-46,60276076","4,75000000",
10:38:50:860,"0,1163","0,0088","0,9675","-23,45772144","-46,60276076","4,75000000",
10:38:50:956,"0,1163","0,0088","0,9675","-23,45772144","-46,60276076","4,75000000",
10:38:51:018,"0,1437","0,0020","0,9694","-23,45772144","-46,60276076","4,75000000",
10:38:51:178,"0,1798","0,0127","0,9714","-23,45772144","-46,60276076","4,75000000",
10:38:51:337,"0,2062","0,0283","0,9723","-23,45772144","-46,60276076","4,75000000",
10:38:51:423,"0,2062","0,0283","0,9723","-23,45772144","-46,60276076","4,75000000",
10:38:51:495,"0,2081","0,0283","0,9645","-23,45772144","-46,60276076","4,75000000",
10:38:51:654,"0,2228","0,0293","0,9626","-23,45772144","-46,60276076","4,75000000",
10:38:51:685,"0,2228","0,0293","0,9626","-23,45772144","-46,60276076","4,75000000",
10:38:51:812,"0,2248","0,0293","0,9626","-23,45772144","-46,60276076","4,75000000",
10:38:51:892,"0,2248","0,0293","0,9626","-23,45772144","-46,60276076","4,75000000",
10:38:51:968,"0,2179","0,0205","0,9606","-23,45772144","-46,60276076","4,75000000",
10:38:52:101,"0,2179","0,0205","0,9606","-23,45772144","-46,60276076","4,75000000",
10:38:52:127,"0,1788","0,0107","0,9753","-23,45772144","-46,60276076","4,75000000",
10:38:52:286,"0,1661","0,0117","0,9743","-23,45772144","-46,60276076","4,75000000",
10:38:52:445,"0,1661","-0,0010","0,9762","-23,45772144","-46,60276076","4,75000000",
10:38:52:466,"0,1661","-0,0010","0,9762","-23,45772144","-46,60276076","4,75000000",
10:38:52:606,"0,1769","0,0235","0,9704","-23,45772144","-46,60276076","4,75000000",
10:38:52:763,"0,1769","0,0215","0,9704","-23,45772144","-46,60276076","4,75000000",
10:38:52:920,"0,1319","-0,0127","0,9870","-23,45772144","-46,60276076","4,75000000",
10:38:53:080,"0,1261","-0,0059","0,9772","-23,45772144","-46,60276076","4,75000000",
10:38:53:240,"0,1251","-0,0068","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:53:399,"0,1241","-0,0068","0,9831","-23,45772144","-46,60276076","4,75000000",
10:38:53:559,"0,1241","-0,0059","0,9821","-23,45772144","-46,60276076","4,75000000",
10:38:53:721,"0,1055","-0,0078","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:53:724,"0,1055","-0,0078","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:53:879,"0,0352","-0,0078","0,9997","-23,45772144","-46,60276076","4,75000000",
10:38:54:034,"0,0332","-0,0059","0,9821","-23,45772144","-46,60276076","4,75000000",
10:38:54:195,"0,0195","0,0010","0,9948","-23,45772144","-46,60276076","4,75000000",
10:38:54:351,"0,0205","0,0000","0,9919","-23,45772144","-46,60276076","4,75000000",
10:38:54:510,"0,0195","0,0010","0,9909","-23,45772144","-46,60276076","4,75000000",
10:38:54:664,"0,0195","0,0010","0,9909","-23,45772144","-46,60276076","4,75000000",
10:38:54:669,"0,0186","0,0010","0,9909","-23,45772144","-46,60276076","4,75000000",
10:38:54:828,"0,0186","0,0010","0,9899","-23,45772144","-46,60276076","4,75000000",
10:38:54:987,"0,0186","0,0029","0,9880","-23,45772144","-46,60276076","4,75000000",
10:38:55:134,"0,0186","0,0029","0,9880","-23,45772144","-46,60276076","4,75000000",
10:38:55:302,"0,0186","0,0029","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:55:460,"0,0176","0,0029","0,9909","-23,45772144","-46,60276076","4,75000000",
10:38:55:619,"0,0156","0,0088","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:55:780,"0,0156","0,0059","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:55:916,"0,0156","0,0059","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:55:939,"0,0156","0,0049","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:56:125,"0,0156","0,0049","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:56:255,"0,0156","0,0039","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:56:415,"0,0156","0,0049","0,9899","-23,45772144","-46,60276076","4,75000000",
10:38:56:572,"0,0147","0,0049","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:56:699,"0,0147","0,0049","0,9890","-23,45772144","-46,60276076","4,75000000",
10:38:56:732,"0,0088","0,0068","0,9870","-23,45772144","-46,60276076","4,75000000",
10:38:56:892,"0,0078","0,0127","0,9860","-23,45772144","-46,60276076","4,75000000",
10:38:57:048,"0,0078","0,0117","0,9870","-23,45772144","-46,60276076","4,75000000",
10:38:57:206,"0,0078","0,0098","0,9880","-23,45772144","-46,60276076","4,75000000",
10:38:57:682,"0,0098","0,0078","0,9870","-23,45772144","-46,60276076","4,75000000",
10:38:57:841,"0,0235","0,0010","0,9870","-23,45772144","-46,60276076","4,75000000",
10:38:58:000,"0,0401","-0,0078","0,9948","-23,45772144","-46,60276076","4,75000000",
10:38:58:160,"0,0469","-0,0098","0,9938","-23,45772144","-46,60276076","4,75000000",
10:38:58:319,"0,0459","-0,0098","0,9938","-23,45772144","-46,60276076","4,75000000",
10:38:58:478,"0,0459","-0,0078","0,9919","-23,45772144","-46,60276076","4,75000000",
