time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
20:34:45:119,"-0,0283","0,0997","0,9528","0,00000000","0,00000000","0,00000000",
20:34:45:120,"-0,0274","0,1007","0,9528","0,00000000","0,00000000","0,00000000",
20:34:45:140,"-0,0274","0,1016","0,9499","0,00000000","0,00000000","0,00000000",
20:34:45:296,"-0,0274","0,1026","0,9499","0,00000000","0,00000000","0,00000000",
20:34:45:456,"-0,0274","0,1016","0,9499","0,00000000","0,00000000","0,00000000",
20:34:45:774,"-0,0264","0,1007","0,9499","0,00000000","0,00000000","0,00000000",
20:34:45:934,"-0,0264","0,1016","0,9499","0,00000000","0,00000000","0,00000000",
20:34:46:254,"-0,0596","0,1124","0,9508","0,00000000","0,00000000","0,00000000",
20:34:46:411,"-0,0704","0,1202","0,9489","0,00000000","0,00000000","0,00000000",
20:34:46:571,"-0,0625","0,1202","0,9489","0,00000000","0,00000000","0,00000000",
20:34:46:730,"-0,0635","0,1202","0,9489","0,00000000","0,00000000","0,00000000",
20:34:46:890,"-0,0723","0,1222","0,9489","0,00000000","0,00000000","0,00000000",
20:34:47:049,"-0,0792","0,1222","0,9469","0,00000000","0,00000000","0,00000000",
20:34:47:211,"-0,0792","0,1280","0,9450","0,00000000","0,00000000","0,00000000",
20:34:47:369,"-0,0997","0,1280","0,9420","0,00000000","0,00000000","0,00000000",
20:34:47:528,"-0,0752","0,1407","0,9508","0,00000000","0,00000000","0,00000000",
20:34:47:688,"-0,0586","0,1182","0,9665","0,00000000","0,00000000","0,00000000",
20:34:47:848,"-0,0166","0,1163","0,9587","0,00000000","0,00000000","0,00000000",
20:34:48:007,"-0,0410","0,1163","0,9430","0,00000000","0,00000000","0,00000000",
20:34:48:167,"-0,0743","0,1036","0,9352","0,00000000","0,00000000","0,00000000",
20:34:48:326,"-0,0733","0,1241","0,9372","0,00000000","0,00000000","0,00000000",
20:34:48:485,"-0,0909","0,1222","0,9372","0,00000000","0,00000000","0,00000000",
20:34:48:645,"-0,0899","0,1202","0,9362","0,00000000","0,00000000","0,00000000",
20:34:48:812,"-0,0743","0,1524","0,9684","0,00000000","0,00000000","0,00000000",
20:34:48:965,"-0,0635","0,1417","0,9675","0,00000000","0,00000000","0,00000000",
20:34:49:124,"-0,0450","0,1290","0,9587","0,00000000","0,00000000","0,00000000",
20:34:49:279,"-0,0107","0,1309","0,9254","0,00000000","0,00000000","0,00000000",
20:34:49:439,"-0,0244","0,1202","0,9665","0,00000000","0,00000000","0,00000000",
20:34:49:598,"-0,0235","0,0928","0,9508","0,00000000","0,00000000","0,00000000",
20:34:49:758,"-0,0362","0,0792","0,9626","0,00000000","0,00000000","0,00000000",
20:34:49:919,"-0,0518","0,1446","0,9157","0,00000000","0,00000000","0,00000000",
20:34:50:078,"-0,0577","0,1134","0,9489","0,00000000","0,00000000","0,00000000",
20:34:50:235,"-0,1036","0,0948","0,9469","0,00000000","0,00000000","0,00000000",
20:34:50:395,"-0,1173","0,1094","0,9489","0,00000000","0,00000000","0,00000000",
20:34:50:554,"-0,1290","0,1270","0,9469","0,00000000","0,00000000","0,00000000",
20:34:50:714,"-0,1349","0,1290","0,9469","0,00000000","0,00000000","0,00000000",
20:34:50:875,"-0,1222","0,1446","0,9616","0,00000000","0,00000000","0,00000000",
20:34:51:034,"-0,1241","0,0723","0,9460","0,00000000","0,00000000","0,00000000",
20:34:51:192,"-0,1212","0,0792","0,9567","0,00000000","0,00000000","0,00000000",
20:34:51:351,"-0,1202","0,0870","0,9284","0,00000000","0,00000000","0,00000000",
20:34:51:511,"-0,1143","0,1212","0,9831","0,00000000","0,00000000","0,00000000",
20:34:51:670,"-0,0938","0,1007","0,9831","0,00000000","0,00000000","0,00000000",
20:34:51:830,"-0,1280","0,0684","0,9205","0,00000000","0,00000000","0,00000000",
20:34:51:989,"-0,1437","0,0596","0,9284","0,00000000","0,00000000","0,00000000",
20:34:52:149,"-0,1046","0,0743","0,9186","0,00000000","0,00000000","0,00000000",
20:34:52:309,"-0,1134","0,0674","0,9919","0,00000000","0,00000000","0,00000000",
20:34:52:469,"-0,0792","0,0537","1,0036","0,00000000","0,00000000","0,00000000",
20:34:52:627,"-0,0567","0,0557","0,9333","0,00000000","0,00000000","0,00000000",
20:34:52:788,"-0,0450","0,0674","0,9567","0,00000000","0,00000000","0,00000000",
20:34:52:947,"-0,0567","0,0235","0,9557","0,00000000","0,00000000","0,00000000",
20:34:53:117,"-0,0547","0,0010","0,9411","0,00000000","0,00000000","0,00000000",
20:34:53:267,"-0,0459","-0,0137","0,9782","0,00000000","0,00000000","0,00000000",
20:34:53:426,"-0,0616","0,0274","0,9499","0,00000000","0,00000000","0,00000000",
20:34:53:586,"-0,0215","0,1036","1,0867","0,00000000","0,00000000","0,00000000",
20:34:53:750,"-0,0342","0,0293","1,0232","0,00000000","0,00000000","0,00000000",
20:34:53:908,"-0,0665","-0,0274","0,9293","0,00000000","0,00000000","0,00000000",
20:34:54:064,"-0,1075","-0,0137","0,9274","0,00000000","0,00000000","0,00000000",
20:34:54:225,"-0,1075","0,1466","1,0427","0,00000000","0,00000000","0,00000000",
20:34:54:379,"-0,1055","0,0899","0,9997","0,00000000","0,00000000","0,00000000",
20:34:54:539,"-0,1143","0,0371","0,8727","0,00000000","0,00000000","0,00000000",
20:34:54:698,"-0,1241","-0,0215","0,8932","0,00000000","0,00000000","0,00000000",
20:34:54:858,"-0,0987","0,1075","1,0427","0,00000000","0,00000000","0,00000000",
20:34:55:019,"-0,1046","0,0880","1,0232","0,00000000","0,00000000","0,00000000",
20:34:55:179,"-0,0928","0,0518","0,9469","0,00000000","0,00000000","0,00000000",
20:34:55:336,"-0,0928","0,0029","0,9977","0,00000000","0,00000000","0,00000000",
20:34:55:496,"-0,1016","0,0694","0,9645","0,00000000","0,00000000","0,00000000",
20:34:55:657,"-0,1104","0,0567","0,9225","0,00000000","0,00000000","0,00000000",
20:34:55:814,"-0,0977","0,0381","0,9528","0,00000000","0,00000000","0,00000000",
20:34:55:976,"-0,0723","-0,0059","1,0310","0,00000000","0,00000000","0,00000000",
20:34:56:133,"-0,0880","0,0469","0,9274","0,00000000","0,00000000","0,00000000",
20:34:56:294,"-0,0743","0,0577","0,8678","0,00000000","0,00000000","0,00000000",
20:34:56:454,"-0,0606","-0,0010","1,0124","0,00000000","0,00000000","0,00000000",
20:34:56:612,"-0,0479","0,0147","1,0828","0,00000000","0,00000000","0,00000000",
20:34:56:772,"-0,0498","-0,0264","0,9802","0,00000000","0,00000000","0,00000000",
20:34:56:931,"-0,0752","0,0137","0,8473","0,00000000","0,00000000","0,00000000",
20:34:57:092,"-0,0577","-0,0195","0,9450","0,00000000","0,00000000","0,00000000",
20:34:57:248,"-0,0420","-0,0322","1,0828","0,00000000","0,00000000","0,00000000",
20:34:57:409,"-0,0020","0,0039","1,0378","0,00000000","0,00000000","0,00000000",
20:34:57:569,"-0,0489","-0,0117","0,9743","0,00000000","0,00000000","0,00000000",
20:34:57:728,"-0,0508","0,0166","0,8668","0,00000000","0,00000000","0,00000000",
20:34:57:888,"-0,0303","0,0156","1,0583","0,00000000","0,00000000","0,00000000",
20:34:58:048,"-0,0479","0,0137","1,0144","0,00000000","0,00000000","0,00000000",
20:34:58:207,"-0,0274","-0,0205","0,9059","0,00000000","0,00000000","0,00000000",
20:34:58:366,"-0,0655","0,0371","0,8903","0,00000000","0,00000000","0,00000000",
20:34:58:524,"-0,0195","0,0088","1,0583","0,00000000","0,00000000","0,00000000",
20:34:58:685,"-0,0117","-0,0498","1,0339","0,00000000","0,00000000","0,00000000",
20:34:58:845,"-0,0577","0,0264","0,9264","0,00000000","0,00000000","0,00000000",
20:34:59:004,"-0,0401","0,0029","0,9782","0,00000000","0,00000000","0,00000000",
20:34:59:163,"-0,0205","0,0225","0,9450","0,00000000","0,00000000","0,00000000",
20:34:59:322,"-0,0410","0,0010","0,9919","0,00000000","0,00000000","0,00000000",
20:34:59:484,"-0,0264","0,0195","0,9381","0,00000000","0,00000000","0,00000000",
20:34:59:640,"-0,0254","-0,0186","1,0916","0,00000000","0,00000000","0,00000000",
20:34:59:798,"-0,0225","0,0000","0,8971","0,00000000","0,00000000","0,00000000",
20:34:59:957,"-0,0479","0,0020","0,9186","0,00000000","0,00000000","0,00000000",
20:35:00:116,"0,0020","-0,0186","1,0583","0,00000000","0,00000000","0,00000000",
20:35:00:276,"-0,0332","-0,0029","0,9782","0,00000000","0,00000000","0,00000000",
20:35:00:436,"-0,0322","-0,0010","0,9655","0,00000000","0,00000000","0,00000000",
20:35:00:597,"-0,0244","-0,0068","0,9899","0,00000000","0,00000000","0,00000000",
20:35:00:756,"-0,0254","-0,0068","0,9665","0,00000000","0,00000000","0,00000000",
20:35:00:914,"-0,0254","0,0156","0,9665","0,00000000","0,00000000","0,00000000",
20:35:01:075,"-0,0195","0,0088","0,9841","0,00000000","0,00000000","0,00000000",
20:35:01:231,"-0,0176","0,0362","0,9860","0,00000000","0,00000000","0,00000000",
20:35:01:391,"-0,0362","0,0831","0,8951","0,00000000","0,00000000","0,00000000",
20:35:01:550,"-0,0127","0,0381","0,9059","0,00000000","0,00000000","0,00000000",
20:35:01:709,"-0,0235","0,1046","1,0495","0,00000000","0,00000000","0,00000000",
20:35:01:869,"-0,0059","0,0713","0,9675","0,00000000","0,00000000","0,00000000",
20:35:02:029,"-0,0225","0,0694","0,9528","0,00000000","0,00000000","0,00000000",
20:35:02:189,"-0,0117","0,0489","0,9616","0,00000000","0,00000000","0,00000000",
20:35:02:349,"-0,0195","0,1134","1,0036","0,00000000","0,00000000","0,00000000",
20:35:02:508,"-0,0283","0,0958","0,9675","0,00000000","0,00000000","0,00000000",
