time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
20:33:57:692,"-0,1906","0,4319","0,8639","0,00000000","0,00000000","0,00000000",
20:33:57:850,"-0,1397","0,3870","0,8824","0,00000000","0,00000000","0,00000000",
20:33:58:009,"-0,1241","0,3850","0,9606","0,00000000","0,00000000","0,00000000",
20:33:58:167,"-0,0860","0,3792","0,9460","0,00000000","0,00000000","0,00000000",
20:33:58:326,"-0,0684","0,3762","0,9909","0,00000000","0,00000000","0,00000000",
20:33:58:485,"-0,1182","0,3762","0,9802","0,00000000","0,00000000","0,00000000",
20:33:58:644,"-0,1427","0,3782","0,9088","0,00000000","0,00000000","0,00000000",
20:33:58:805,"-0,1143","0,4202","0,9069","0,00000000","0,00000000","0,00000000",
20:33:58:964,"-0,1349","0,4329","0,9557","0,00000000","0,00000000","0,00000000",
20:33:59:121,"-0,1739","0,4407","0,9303","0,00000000","0,00000000","0,00000000",
20:33:59:279,"-0,1231","0,4837","0,8580","0,00000000","0,00000000","0,00000000",
20:33:59:440,"-0,1329","0,5179","0,8043","0,00000000","0,00000000","0,00000000",
20:33:59:601,"-0,1261","0,5003","0,6714","0,00000000","0,00000000","0,00000000",
20:33:59:757,"0,0586","0,4603","0,8258","0,00000000","0,00000000","0,00000000",
20:33:59:916,"0,2160","0,1544","1,0134","0,00000000","0,00000000","0,00000000",
20:34:00:073,"0,2922","-0,0039","1,1463","0,00000000","0,00000000","0,00000000",
20:34:00:235,"0,3127","0,1075","0,8052","0,00000000","0,00000000","0,00000000",
20:34:00:392,"0,1886","-0,0909","1,1160","0,00000000","0,00000000","0,00000000",
20:34:00:552,"0,1700","-0,1153","0,9147","0,00000000","0,00000000","0,00000000",
20:34:00:709,"0,2257","-0,3000","0,9254","0,00000000","0,00000000","0,00000000",
20:34:00:870,"0,2150","-0,3420","0,9049","0,00000000","0,00000000","0,00000000",
20:34:01:029,"0,3831","-0,3088","0,9948","0,00000000","0,00000000","0,00000000",
20:34:01:187,"0,4456","-0,0537","0,5961","0,00000000","0,00000000","0,00000000",
20:34:01:346,"0,5052","-0,0371","0,7622","0,00000000","0,00000000","0,00000000",
20:34:01:505,"0,2424","-0,1202","1,0105","0,00000000","0,00000000","0,00000000",
20:34:01:663,"0,2570","-0,1075","0,9303","0,00000000","0,00000000","0,00000000",
20:34:01:821,"0,2482","-0,0801","0,9391","0,00000000","0,00000000","0,00000000",
20:34:01:979,"0,1994","-0,0880","0,9528","0,00000000","0,00000000","0,00000000",
20:34:02:137,"0,2111","-0,0880","0,9616","0,00000000","0,00000000","0,00000000",
20:34:02:296,"0,1094","-0,1671","0,9587","0,00000000","0,00000000","0,00000000",
20:34:02:455,"0,0752","-0,2296","0,9675","0,00000000","0,00000000","0,00000000",
20:34:02:617,"0,0655","-0,1642","0,9352","0,00000000","0,00000000","0,00000000",
20:34:02:778,"0,0870","-0,1837","0,9645","0,00000000","0,00000000","0,00000000",
20:34:02:931,"0,0704","-0,2384","0,9645","0,00000000","0,00000000","0,00000000",
20:34:03:093,"0,0186","-0,2531","0,9655","0,00000000","0,00000000","0,00000000",
