time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
15:47:32:491,"-0,1319","0,1163","0,9587","0,00000000","0,00000000","0,00000000",
15:47:32:650,"-0,1290","0,1153","0,9596","0,00000000","0,00000000","0,00000000",
15:47:32:660,"-0,1290","0,1153","0,9596","0,00000000","0,00000000","0,00000000",
15:47:32:809,"-0,1280","0,1153","0,9606","0,00000000","0,00000000","0,00000000",
15:47:32:968,"-0,1280","0,1134","0,9606","0,00000000","0,00000000","0,00000000",
15:47:33:127,"-0,1280","0,1134","0,9616","0,00000000","0,00000000","0,00000000",
15:47:33:444,"-0,1280","0,1134","0,9606","0,00000000","0,00000000","0,00000000",
15:47:33:603,"-0,1280","0,1153","0,9606","0,00000000","0,00000000","0,00000000",
15:47:33:706,"-0,1280","0,1153","0,9606","0,00000000","0,00000000","0,00000000",
15:47:33:765,"-0,1280","0,1134","0,9606","0,00000000","0,00000000","0,00000000",
15:47:33:925,"-0,1270","0,1153","0,9606","0,00000000","0,00000000","0,00000000",
15:47:34:082,"-0,1280","0,1143","0,9606","0,00000000","0,00000000","0,00000000",
15:47:34:122,"-0,1280","0,1143","0,9606","0,00000000","0,00000000","0,00000000",
15:47:34:399,"-0,1280","0,1143","0,9596","0,00000000","0,00000000","0,00000000",
15:47:34:876,"-0,1280","0,1143","0,9606","0,00000000","0,00000000","0,00000000",
15:47:35:350,"-0,1290","0,1143","0,9782","-23,45811884","-46,60641395","0,00000000",
15:47:35:509,"-0,1290","0,1153","0,9665","-23,45811884","-46,60641395","0,00000000",
15:47:35:671,"-0,1290","0,1153","0,9635","-23,45811884","-46,60641395","0,00000000",
15:47:35:743,"-0,1290","0,1153","0,9635","-23,45811884","-46,60641395","0,00000000",
15:47:35:830,"-0,1300","0,1143","0,9626","-23,45811884","-46,60641395","0,00000000",
15:47:35:986,"-0,1290","0,1143","0,9626","-23,45811884","-46,60641395","0,00000000",
15:47:36:147,"-0,1290","0,1163","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:36:165,"-0,1290","0,1163","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:36:304,"-0,1349","0,1143","0,9626","-23,45811884","-46,60641395","0,00000000",
15:47:36:422,"-0,1349","0,1143","0,9626","-23,45811884","-46,60641395","0,00000000",
15:47:36:464,"-0,1222","0,1163","0,9626","-23,45811884","-46,60641395","0,00000000",
15:47:36:624,"-0,1339","0,1163","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:36:781,"-0,1319","0,1143","0,9626","-23,45811884","-46,60641395","0,00000000",
15:47:36:939,"-0,1300","0,1143","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:37:099,"-0,1300","0,1143","0,9596","-23,45811884","-46,60641395","0,00000000",
15:47:37:256,"-0,1280","0,1143","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:37:415,"-0,1280","0,1143","0,9596","-23,45811884","-46,60641395","0,00000000",
15:47:37:569,"-0,1280","0,1143","0,9596","-23,45811884","-46,60641395","0,00000000",
15:47:37:574,"-0,1280","0,1163","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:37:733,"-0,1280","0,1153","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:37:883,"-0,1280","0,1153","0,9606","-23,45811884","-46,60641395","0,00000000",
15:47:37:891,"-0,1270","0,1163","0,9596","-23,45811884","-46,60641395","0,00000000",
15:47:38:051,"-0,1349","0,1163","0,9596","-23,45811884","-46,60641395","0,00000000",
15:47:38:144,"-0,1349","0,1163","0,9596","-23,45811884","-46,60641395","0,00000000",
15:47:38:212,"-0,1867","0,1026","0,9587","-23,45811884","-46,60641395","0,00000000",
15:47:38:368,"-0,2101","0,1007","0,9645","-23,45809171","-46,60642090","0,00000000",
15:47:38:527,"-0,2101","0,0938","0,9635","-23,45809171","-46,60642090","0,00000000",
15:47:38:564,"-0,2101","0,0938","0,9635","-23,45809171","-46,60642090","0,00000000",
15:47:38:688,"-0,2169","0,0860","0,9655","-23,45809171","-46,60642090","0,00000000",
15:47:38:845,"-0,2287","0,0850","0,9547","-23,45809171","-46,60642090","0,00000000",
15:47:39:010,"-0,2345","0,0928","0,9714","-23,45809171","-46,60642090","0,00000000",
15:47:39:136,"-0,2345","0,0928","0,9714","-23,45809171","-46,60642090","0,00000000",
15:47:39:163,"-0,2169","0,0831","0,9782","-23,45809171","-46,60642090","0,00000000",
15:47:39:321,"-0,2111","0,1261","0,9684","-23,45809171","-46,60642090","0,00000000",
15:47:39:481,"-0,2101","0,1583","0,9606","-23,45807906","-46,60642620","0,25000000",
15:47:39:639,"-0,1202","0,1173","0,9587","-23,45807906","-46,60642620","0,25000000",
15:47:39:799,"-0,1505","0,0811","0,9469","-23,45807906","-46,60642620","0,25000000",
15:47:39:815,"-0,1505","0,0811","0,9469","-23,45807906","-46,60642620","0,25000000",
15:47:39:958,"-0,1632","0,1612","0,9968","-23,45807906","-46,60642620","0,25000000",
15:47:40:024,"-0,1632","0,1612","0,9968","-23,45807906","-46,60642620","0,25000000",
15:47:40:116,"-0,1622","0,1007","0,9557","-23,45807906","-46,60642620","0,25000000",
15:47:40:235,"-0,1622","0,1007","0,9557","-23,45807906","-46,60642620","0,25000000",
15:47:40:275,"-0,1456","0,1026","0,9303","-23,45807906","-46,60642620","0,25000000",
15:47:40:434,"-0,1798","0,1358","0,9323","-23,45807906","-46,60642620","0,25000000",
15:47:40:593,"-0,1622","0,1466","0,9938","-23,45807906","-46,60642620","0,25000000",
15:47:40:655,"-0,1622","0,1466","0,9938","-23,45807906","-46,60642620","0,25000000",
15:47:40:752,"-0,1476","0,1241","0,9489","-23,45807906","-46,60642620","0,25000000",
15:47:40:913,"-0,1456","0,0919","0,9723","-23,45807906","-46,60642620","0,25000000",
15:47:41:075,"-0,1309","0,1505","0,9958","-23,45807906","-46,60642620","0,25000000",
15:47:41:231,"-0,1065","0,1515","0,9704","-23,45807906","-46,60642620","0,25000000",
15:47:41:389,"-0,1349","0,1397","0,9547","-23,45806437","-46,60643142","0,50000000",
15:47:41:548,"-0,1339","0,1134","0,9547","-23,45806437","-46,60643142","0,50000000",
15:47:41:700,"-0,1339","0,1134","0,9547","-23,45806437","-46,60643142","0,50000000",
15:47:41:704,"-0,1173","0,0704","0,9547","-23,45806437","-46,60643142","0,50000000",
15:47:41:865,"-0,1173","0,0811","0,9762","-23,45806437","-46,60643142","0,50000000",
15:47:42:022,"-0,1192","0,0713","0,9762","-23,45806437","-46,60643142","0,50000000",
15:47:42:119,"-0,1192","0,0713","0,9762","-23,45806437","-46,60643142","0,50000000",
15:47:42:185,"-0,1104","0,1280","0,9753","-23,45806437","-46,60643142","0,50000000",
15:47:42:345,"-0,1339","0,0586","0,9411","-23,45805176","-46,60643913","1,00000000",
15:47:42:487,"-0,1339","0,0586","0,9411","-23,45805176","-46,60643913","1,00000000",
15:47:42:501,"-0,1319","0,0938","0,9538","-23,45805176","-46,60643913","1,00000000",
15:47:42:660,"-0,1163","0,0616","1,0163","-23,45805176","-46,60643913","1,00000000",
15:47:42:819,"-0,1182","0,1055","0,9567","-23,45805176","-46,60643913","1,00000000",
15:47:42:978,"-0,1309","0,0840","0,9372","-23,45805176","-46,60643913","1,00000000",
15:47:43:002,"-0,1309","0,0840","0,9372","-23,45805176","-46,60643913","1,00000000",
15:47:43:137,"-0,1046","0,0459","0,9948","-23,45805176","-46,60643913","1,00000000",
15:47:43:263,"-0,1046","0,0459","0,9948","-23,45805176","-46,60643913","1,00000000",
