time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
23:21:29:228,"-0,1437","0,3264","0,9313","0,00000000","0,00000000","0,00000000",
23:21:29:386,"-0,1437","0,3352","0,9000","0,00000000","0,00000000","0,00000000",
23:21:29:545,"-0,1456","0,3586","0,8854","0,00000000","0,00000000","0,00000000",
23:21:29:707,"-0,1632","0,3557","0,7867","0,00000000","0,00000000","0,00000000",
23:21:29:863,"-0,1270","0,2414","0,9039","0,00000000","0,00000000","0,00000000",
23:21:30:023,"0,0967","0,1319","1,0495","0,00000000","0,00000000","0,00000000",
23:21:30:181,"0,2492","0,3147","1,0359","0,00000000","0,00000000","0,00000000",
23:21:30:340,"0,1720","0,1935","0,9157","0,00000000","0,00000000","0,00000000",
23:21:30:499,"0,0381","0,0948","1,0359","0,00000000","0,00000000","0,00000000",
23:21:30:658,"0,2971","0,0625","0,7925","0,00000000","0,00000000","0,00000000",
23:21:30:817,"0,3801","0,0303","0,9254","0,00000000","0,00000000","0,00000000",
23:21:30:977,"0,3919","0,0186","0,8990","0,00000000","0,00000000","0,00000000",
23:21:31:137,"0,5160","0,0518","0,7251","0,00000000","0,00000000","0,00000000",
23:21:31:295,"0,5951","0,0870","0,6850","0,00000000","0,00000000","0,00000000",
23:21:31:454,"0,5082","0,0625","0,7779","0,00000000","0,00000000","0,00000000",
23:21:31:613,"0,4290","0,1769","0,8267","0,00000000","0,00000000","0,00000000",
23:21:31:772,"0,4036","0,0899","0,8746","0,00000000","0,00000000","0,00000000",
23:21:31:931,"0,3684","0,0410","0,7339","0,00000000","0,00000000","0,00000000",
23:21:32:090,"0,1466","0,0889","0,2697","0,00000000","0,00000000","0,00000000",
23:21:32:249,"0,0049","0,0762","0,8932","0,00000000","0,00000000","0,00000000",
23:21:32:408,"-0,0215","0,1007","0,9411","0,00000000","0,00000000","0,00000000",
23:21:32:568,"-0,1280","0,1173","0,9899","0,00000000","0,00000000","0,00000000",
23:21:32:726,"-0,0889","0,1182","0,9606","0,00000000","0,00000000","0,00000000",
23:21:32:886,"-0,1261","0,1182","0,9587","0,00000000","0,00000000","0,00000000",
23:21:33:045,"-0,1085","0,1173","0,9587","0,00000000","0,00000000","0,00000000",
23:21:33:204,"-0,1231","0,1290","0,9587","0,00000000","0,00000000","0,00000000",
23:21:33:363,"-0,1173","0,1163","0,9557","0,00000000","0,00000000","0,00000000",
23:21:33:522,"-0,1163","0,1173","0,9538","0,00000000","0,00000000","0,00000000",
23:21:33:681,"-0,1163","0,1163","0,9528","0,00000000","0,00000000","0,00000000",
23:21:33:840,"-0,1163","0,1182","0,9528","0,00000000","0,00000000","0,00000000",
23:21:34:000,"-0,1163","0,1173","0,9528","0,00000000","0,00000000","0,00000000",
23:21:34:795,"-0,1163","0,1173","0,9538","0,00000000","0,00000000","0,00000000",
23:21:35:113,"-0,1163","0,1173","0,9528","0,00000000","0,00000000","0,00000000",
23:21:35:590,"-0,1163","0,1182","0,9538","0,00000000","0,00000000","0,00000000",
23:21:35:749,"-0,1163","0,1163","0,9528","0,00000000","0,00000000","0,00000000",
23:21:35:908,"-0,1163","0,1182","0,9528","0,00000000","0,00000000","0,00000000",
23:21:36:067,"-0,1163","0,1173","0,9528","0,00000000","0,00000000","0,00000000",
23:21:36:226,"-0,1163","0,1182","0,9528","0,00000000","0,00000000","0,00000000",
23:21:36:385,"-0,1163","0,1173","0,9528","0,00000000","0,00000000","0,00000000",
23:21:37:021,"-0,1163","0,1182","0,9528","0,00000000","0,00000000","0,00000000",
23:21:37:180,"-0,1163","0,1173","0,9528","0,00000000","0,00000000","0,00000000",
23:21:37:657,"-0,1163","0,1182","0,9528","0,00000000","0,00000000","0,00000000",
23:21:38:294,"-0,1173","0,1173","0,9528","0,00000000","0,00000000","0,00000000",
23:21:39:089,"-0,1173","0,1173","0,9518","0,00000000","0,00000000","0,00000000",
23:21:39:248,"-0,1173","0,1182","0,9528","0,00000000","0,00000000","0,00000000",
