time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
18:27:49:489,"-0,0762","0,1652","0,9489","0,00000000","0,00000000","0,00000000",
18:27:49:589,"-0,0635","0,1642","0,9469","0,00000000","0,00000000","0,00000000",
18:27:49:748,"-0,0645","0,1642","0,9479","0,00000000","0,00000000","0,00000000",
18:27:50:067,"-0,0645","0,1632","0,9469","0,00000000","0,00000000","0,00000000",
18:27:50:226,"-0,0645","0,1642","0,9469","0,00000000","0,00000000","0,00000000",
18:27:50:386,"-0,0645","0,1632","0,9469","0,00000000","0,00000000","0,00000000",
18:27:50:548,"-0,0713","0,1573","0,9479","0,00000000","0,00000000","0,00000000",
18:27:50:707,"-0,0928","0,1564","0,9420","0,00000000","0,00000000","0,00000000",
18:27:50:867,"-0,0919","0,1691","0,9508","0,00000000","0,00000000","0,00000000",
18:27:51:027,"-0,0909","0,1573","0,9489","0,00000000","0,00000000","0,00000000",
18:27:51:186,"-0,0850","0,1681","0,9401","0,00000000","0,00000000","0,00000000",
18:27:51:343,"-0,0909","0,1681","0,9479","0,00000000","0,00000000","0,00000000",
18:27:51:502,"-0,0977","0,1661","0,9479","0,00000000","0,00000000","0,00000000",
18:27:51:662,"-0,1036","0,1652","0,9401","0,00000000","0,00000000","0,00000000",
18:27:51:821,"-0,1290","0,1730","0,9489","0,00000000","0,00000000","0,00000000",
18:27:51:981,"-0,1632","0,1671","0,9469","0,00000000","0,00000000","0,00000000",
18:27:52:142,"-0,1554","0,1759","0,9450","0,00000000","0,00000000","0,00000000",
18:27:52:300,"-0,1544","0,1837","0,9508","0,00000000","0,00000000","0,00000000",
18:27:52:459,"-0,1524","0,1759","0,9528","0,00000000","0,00000000","0,00000000",
18:27:52:619,"-0,1515","0,1622","0,9440","0,00000000","0,00000000","0,00000000",
18:27:52:778,"-0,1046","0,1554","0,9430","0,00000000","0,00000000","0,00000000",
18:27:52:938,"-0,0840","0,1573","0,9450","0,00000000","0,00000000","0,00000000",
18:27:53:102,"-0,0772","0,1564","0,9587","0,00000000","0,00000000","0,00000000",
18:27:53:260,"-0,0928","0,1769","0,9577","0,00000000","0,00000000","0,00000000",
18:27:53:420,"-0,1339","0,1612","0,9264","0,00000000","0,00000000","0,00000000",
18:27:53:580,"-0,1544","0,1603","0,9411","0,00000000","0,00000000","0,00000000",
18:27:53:740,"-0,1544","0,1583","0,9489","0,00000000","0,00000000","0,00000000",
18:27:53:901,"-0,1524","0,1652","0,9489","0,00000000","0,00000000","0,00000000",
18:27:54:061,"-0,1417","0,1524","0,9665","0,00000000","0,00000000","0,00000000",
18:27:54:221,"-0,1612","0,1427","0,9352","0,00000000","0,00000000","0,00000000",
18:27:54:381,"-0,1583","0,1739","0,9372","0,00000000","0,00000000","0,00000000",
18:27:54:537,"-0,1749","0,1896","0,9196","0,00000000","0,00000000","0,00000000",
18:27:54:692,"-0,1925","0,1544","0,9489","0,00000000","0,00000000","0,00000000",
18:27:54:851,"-0,1652","0,1202","0,9547","0,00000000","0,00000000","0,00000000",
18:27:55:011,"-0,1427","0,1114","0,9381","0,00000000","0,00000000","0,00000000",
