time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
15:37:45:868,"-0,1974","0,0772","1,0046","-23,48003371","-46,60401219","4,25000000",
15:37:46:028,"-0,1954","0,0831","0,9919","-23,48003371","-46,60401219","4,25000000",
15:37:46:184,"-0,1954","0,0811","0,9919","-23,48003371","-46,60401219","4,25000000",
15:37:46:342,"-0,1954","0,0811","0,9929","-23,48003371","-46,60401219","4,25000000",
15:37:46:500,"-0,1954","0,0811","0,9919","-23,48003371","-46,60401219","4,25000000",
15:37:46:657,"-0,1954","0,0801","0,9919","-23,48003371","-46,60401219","4,25000000",
15:37:46:811,"-0,1954","0,0801","0,9919","-23,48003371","-46,60401219","4,25000000",
15:37:46:818,"-0,1964","0,0821","0,9899","-23,48003371","-46,60401219","4,25000000",
15:37:46:974,"-0,1974","0,0821","0,9890","-23,48003371","-46,60401219","4,25000000",
15:37:47:018,"-0,1974","0,0821","0,9890","-23,48003371","-46,60401219","4,25000000",
15:37:47:290,"-0,1994","0,0821","0,9870","-23,48003371","-46,60401219","4,25000000",
15:37:47:446,"-0,1984","0,0840","0,9860","-23,48003371","-46,60401219","4,25000000",
15:37:47:607,"-0,2042","0,0860","0,9948","-23,48003371","-46,60401219","4,25000000",
15:37:47:765,"-0,2033","0,0850","0,9890","-23,48003371","-46,60401219","4,25000000",
15:37:47:926,"-0,2248","0,0831","1,0026","-23,48003371","-46,60401219","4,25000000",
15:37:48:080,"-0,2912","0,0684","0,9841","-23,48003371","-46,60401219","4,25000000",
15:37:48:238,"-0,3088","0,0606","0,9831","-23,48003371","-46,60401219","4,25000000",
15:37:48:396,"-0,2795","0,0577","0,9997","-23,48003371","-46,60401219","4,25000000",
15:37:48:436,"-0,2795","0,0577","0,9997","-23,48003371","-46,60401219","4,25000000",
15:37:48:552,"-0,2775","0,0176","1,0124","-23,48003371","-46,60401219","4,25000000",
15:37:48:712,"-0,2531","0,0274","1,0183","-23,48003371","-46,60401219","4,25000000",
15:37:48:867,"-0,2375","0,0254","1,0310","-23,48003371","-46,60401219","4,25000000",
15:37:49:030,"-0,2531","0,0577","0,9958","-23,48003371","-46,60401219","4,25000000",
15:37:49:066,"-0,2531","0,0577","0,9958","-23,48003371","-46,60401219","4,25000000",
15:37:49:191,"-0,2619","0,0547","0,9880","-23,48003371","-46,60401219","4,25000000",
15:37:49:326,"-0,2619","0,0547","0,9880","-23,48003371","-46,60401219","4,25000000",
15:37:49:343,"-0,2893","0,0430","0,9733","-23,48003371","-46,60401219","4,25000000",
15:37:49:501,"-0,2824","0,0244","0,9938","-23,48003371","-46,60401219","4,25000000",
15:37:49:588,"-0,2824","0,0244","0,9938","-23,48003371","-46,60401219","4,25000000",
15:37:49:658,"-0,3039","0,0059","1,0026","-23,48003371","-46,60401219","4,25000000",
15:37:49:814,"-0,3156","-0,0088","1,0202","-23,48003371","-46,60401219","4,25000000",
15:37:49:848,"-0,3156","-0,0088","1,0202","-23,48003371","-46,60401219","4,25000000",
15:37:49:972,"-0,3000","-0,0459","1,0212","-23,48003371","-46,60401219","4,25000000",
15:37:50:109,"-0,3000","-0,0459","1,0212","-23,48003371","-46,60401219","4,25000000",
15:37:50:130,"-0,3156","-0,0049","0,9528","-23,48003371","-46,60401219","4,25000000",
15:37:50:267,"-0,3156","-0,0049","0,9528","-23,47972747","-46,60436086","1,25000000",
15:37:50:288,"-0,2453","0,0381","0,9215","-23,47972747","-46,60436086","1,25000000",
15:37:50:424,"-0,2453","0,0381","0,9215","-23,47972747","-46,60436086","1,25000000",
15:37:50:449,"-0,2179","-0,1730","1,2753","-23,47972747","-46,60436086","1,25000000",
15:37:50:604,"-0,1954","-0,1388","1,1189","-23,47972747","-46,60436086","1,25000000",
15:37:50:634,"-0,1954","-0,1388","1,1189","-23,47972747","-46,60436086","1,25000000",
15:37:50:762,"-0,2189","0,0997","0,8346","-23,47972747","-46,60436086","1,25000000",
15:37:50:923,"-0,3147","0,1300","0,8805","-23,47972747","-46,60436086","1,25000000",
15:37:51:078,"-0,3567","0,0567","1,0280","-23,47972747","-46,60436086","1,25000000",
15:37:51:210,"-0,3567","0,0567","1,0280","-23,47972747","-46,60436086","1,25000000",
15:37:51:236,"-0,2140","-0,0088","1,0818","-23,47972747","-46,60436086","1,25000000",
15:37:51:394,"-0,2375","-0,0342","1,1004","-23,47972747","-46,60436086","1,25000000",
15:37:51:552,"-0,2981","0,0880","0,9753","-23,47972747","-46,60436086","1,25000000",
15:37:51:713,"-0,2218","0,1270","0,9176","-23,47972747","-46,60436086","1,25000000",
15:37:51:868,"-0,2707","0,0713","0,9831","-23,47972747","-46,60436086","1,25000000",
15:37:51:891,"-0,2707","0,0713","0,9831","-23,47972747","-46,60436086","1,25000000",
15:37:52:026,"-0,3313","0,0391","1,0388","-23,47972747","-46,60436086","1,25000000",
15:37:52:153,"-0,3313","0,0391","1,0388","-23,47972747","-46,60436086","1,25000000",
15:37:52:184,"-0,2971","0,0274","0,9880","-23,47972747","-46,60436086","1,25000000",
15:37:52:342,"-0,2971","0,0860","0,9635","-23,47972747","-46,60436086","1,25000000",
15:37:52:415,"-0,2971","0,0860","0,9635","-23,47972747","-46,60436086","1,25000000",
15:37:52:500,"-0,2981","0,0860","0,9987","-23,47972747","-46,60436086","1,25000000",
15:37:52:573,"-0,2981","0,0860","0,9987","-23,47972747","-46,60436086","1,25000000",
15:37:52:658,"-0,2736","0,0850","0,9743","-23,47972747","-46,60436086","1,25000000",
15:37:52:732,"-0,2736","0,0850","0,9743","-23,47972747","-46,60436086","1,25000000",
15:37:52:815,"-0,1808","0,0655","1,0007","-23,47972747","-46,60436086","1,25000000",
15:37:52:943,"-0,1808","0,0655","1,0007","-23,47972747","-46,60436086","1,25000000",
15:37:52:974,"-0,1300","0,0567","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:53:133,"-0,1505","0,0586","1,0232","-23,47972747","-46,60436086","1,25000000",
15:37:53:206,"-0,1505","0,0586","1,0232","-23,47972747","-46,60436086","1,25000000",
15:37:53:290,"-0,2668","0,0508","0,9958","-23,47972747","-46,60436086","1,25000000",
15:37:53:449,"-0,3557","-0,0137","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:53:516,"-0,3557","-0,0137","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:53:606,"-0,3889","-0,0616","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:53:674,"-0,3889","-0,0616","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:53:766,"-0,3176","0,0010","1,0007","-23,47972747","-46,60436086","1,25000000",
15:37:53:923,"-0,3117","0,0371","0,9938","-23,47972747","-46,60436086","1,25000000",
15:37:54:081,"-0,3323","0,0156","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:54:200,"-0,3323","0,0156","1,0075","-23,47972747","-46,60436086","1,25000000",
15:37:54:239,"-0,3196","0,0303","0,9802","-23,47972747","-46,60436086","1,25000000",
15:37:54:397,"-0,3450","0,0059","1,0065","-23,47972747","-46,60436086","1,25000000",
15:37:54:463,"-0,3450","0,0059","1,0065","-23,47972747","-46,60436086","1,25000000",
15:37:54:552,"-0,3440","0,0215","1,0085","-23,47972747","-46,60436086","1,25000000",
15:37:54:669,"-0,3440","0,0215","1,0085","-23,47972747","-46,60436086","1,25000000",
15:37:54:712,"-0,3440","0,0127","1,0017","-23,47972747","-46,60436086","1,25000000",
15:37:54:868,"-0,3459","0,0049","1,0261","-23,47972747","-46,60436086","1,25000000",
15:37:54:878,"-0,3459","0,0049","1,0261","-23,47972747","-46,60436086","1,25000000",
15:37:55:026,"-0,3332","0,0293","0,9831","-23,47972747","-46,60436086","1,25000000",
15:37:55:088,"-0,3332","0,0293","0,9831","-23,47972747","-46,60436086","1,25000000",
15:37:55:184,"-0,3352","0,0313","0,9811","-23,47972747","-46,60436086","1,25000000",
15:37:55:342,"-0,3264","0,0293","0,9831","-23,47972747","-46,60436086","1,25000000",
15:37:55:502,"-0,3371","0,0293","1,0222","-23,47972747","-46,60436086","1,25000000",
15:37:55:657,"-0,3225","0,0401","0,9919","-23,47972747","-46,60436086","1,25000000",
15:37:55:818,"-0,3205","0,0489","0,9694","-23,47972747","-46,60436086","1,25000000",
15:37:55:975,"-0,3108","0,0655","0,9850","-23,47972747","-46,60436086","1,25000000",
15:37:56:086,"-0,3108","0,0655","0,9850","-23,47972747","-46,60436086","1,25000000",
15:37:56:131,"-0,3000","0,0899","0,9841","-23,47972747","-46,60436086","1,25000000",
15:37:56:289,"-0,3020","0,0899","0,9821","-23,47972747","-46,60436086","1,25000000",
15:37:56:450,"-0,3244","0,0752","0,9821","-23,47972747","-46,60436086","1,25000000",
15:37:56:611,"-0,3479","0,0479","0,9792","-23,47972747","-46,60436086","1,25000000",
