time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
15:39:01:421,"0,0156","0,0821","0,9401","0,00000000","0,00000000","0,00000000",
15:39:01:423,"0,0127","0,0899","0,9401","0,00000000","0,00000000","0,00000000",
15:39:01:424,"0,0127","0,0880","0,9401","0,00000000","0,00000000","0,00000000",
15:39:01:701,"0,0127","0,0870","0,9401","0,00000000","0,00000000","0,00000000",
15:39:02:023,"0,0127","0,0860","0,9401","0,00000000","0,00000000","0,00000000",
15:39:02:091,"0,0127","0,0860","0,9401","0,00000000","0,00000000","0,00000000",
15:39:02:452,"0,0127","0,0860","0,9401","0,00000000","0,00000000","0,00000000",
15:39:02:819,"0,0107","0,0919","0,9401","0,00000000","0,00000000","0,00000000",
15:39:02:877,"0,0107","0,0919","0,9401","0,00000000","0,00000000","0,00000000",
15:39:02:979,"-0,0107","0,0840","0,9479","0,00000000","0,00000000","0,00000000",
15:39:03:026,"-0,0107","0,0840","0,9479","0,00000000","0,00000000","0,00000000",
15:39:03:139,"-0,0557","0,0860","0,9450","0,00000000","0,00000000","0,00000000",
15:39:03:186,"-0,0557","0,0860","0,9450","0,00000000","0,00000000","0,00000000",
15:39:03:299,"-0,0723","0,0752","0,9440","0,00000000","0,00000000","0,00000000",
15:39:03:442,"-0,0723","0,0752","0,9440","0,00000000","0,00000000","0,00000000",
15:39:03:459,"-0,0508","0,1026","0,9440","0,00000000","0,00000000","0,00000000",
15:39:03:601,"-0,0508","0,1026","0,9440","0,00000000","0,00000000","0,00000000",
15:39:03:620,"-0,0283","0,1016","0,9518","0,00000000","0,00000000","0,00000000",
15:39:03:756,"-0,0283","0,1016","0,9518","0,00000000","0,00000000","0,00000000",
15:39:03:777,"-0,0303","0,1007","0,9420","0,00000000","0,00000000","0,00000000",
15:39:03:917,"-0,0303","0,1007","0,9420","0,00000000","0,00000000","0,00000000",
15:39:03:937,"-0,0469","0,1212","0,9420","0,00000000","0,00000000","0,00000000",
15:39:04:097,"-0,0704","0,1349","0,9401","0,00000000","0,00000000","0,00000000",
15:39:04:261,"-0,1046","0,1319","0,9293","0,00000000","0,00000000","0,00000000",
15:39:04:277,"-0,1046","0,1319","0,9293","0,00000000","0,00000000","0,00000000",
15:39:04:416,"-0,0958","0,1300","0,9411","0,00000000","0,00000000","0,00000000",
15:39:04:442,"-0,0958","0,1300","0,9411","0,00000000","0,00000000","0,00000000",
15:39:04:576,"-0,1270","0,1270","0,9313","0,00000000","0,00000000","0,00000000",
15:39:04:736,"-0,1124","0,1290","0,9450","0,00000000","0,00000000","0,00000000",
15:39:04:750,"-0,1124","0,1290","0,9450","0,00000000","0,00000000","0,00000000",
15:39:04:899,"-0,0948","0,1309","0,9909","0,00000000","0,00000000","0,00000000",
