time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
15:51:22:354,"-0,1075","0,0127","1,0280","-23,45807393","-46,61390545","0,00000000",
15:51:22:513,"-0,1065","0,0127","1,0261","-23,45807393","-46,61390545","0,00000000",
15:51:22:574,"-0,1065","0,0127","1,0261","-23,45807393","-46,61390545","0,00000000",
15:51:22:671,"-0,1055","0,0127","1,0261","-23,45807393","-46,61390545","0,00000000",
15:51:22:828,"-0,1055","0,0137","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:22:986,"-0,1055","0,0127","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:23:301,"-0,1055","0,0127","1,0261","-23,45807393","-46,61390545","0,00000000",
15:51:23:459,"-0,1055","0,0127","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:23:516,"-0,1055","0,0127","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:23:616,"-0,1065","0,0147","1,0232","-23,45807393","-46,61390545","0,00000000",
15:51:23:774,"-0,1065","0,0147","1,0222","-23,45807393","-46,61390545","0,00000000",
15:51:23:932,"-0,1055","0,0137","1,0241","-23,45807393","-46,61390545","0,00000000",
15:51:23:987,"-0,1055","0,0137","1,0241","-23,45807393","-46,61390545","0,00000000",
15:51:24:197,"-0,1055","0,0137","1,0241","-23,45807393","-46,61390545","0,00000000",
15:51:24:247,"-0,1055","0,0137","1,0232","-23,45807393","-46,61390545","0,00000000",
15:51:24:405,"-0,1046","0,0137","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:24:563,"-0,1055","0,0137","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:24:720,"-0,1046","0,0137","1,0251","-23,45807393","-46,61390545","0,00000000",
15:51:24:878,"-0,1046","0,0137","1,0261","-23,45807393","-46,61390545","0,00000000",
15:51:25:193,"-0,1036","0,0117","1,0261","-23,45807393","-46,61390545","0,00000000",
15:51:25:351,"-0,1055","0,0117","1,0388","-23,45807393","-46,61390545","0,00000000",
15:51:25:508,"-0,1055","0,0098","1,0271","-23,45807393","-46,61390545","0,00000000",
15:51:25:666,"-0,1075","0,0107","1,0388","-23,45807393","-46,61390545","0,00000000",
15:51:25:769,"-0,1075","0,0107","1,0388","-23,45807393","-46,61390545","0,00000000",
15:51:25:824,"-0,1046","0,0166","1,0232","-23,45807393","-46,61390545","0,00000000",
15:51:25:926,"-0,1046","0,0166","1,0232","-23,45807393","-46,61390545","0,00000000",
15:51:25:981,"-0,1046","0,0147","1,0300","-23,45807393","-46,61390545","0,00000000",
15:51:26:084,"-0,1046","0,0147","1,0300","-23,45805441","-46,61385351","0,50000000",
15:51:26:139,"-0,1046","0,0147","1,0271","-23,45805441","-46,61385351","0,50000000",
15:51:26:297,"-0,1036","0,0147","1,0261","-23,45805441","-46,61385351","0,50000000",
15:51:26:454,"-0,1055","0,0137","1,0251","-23,45805441","-46,61385351","0,50000000",
15:51:26:660,"-0,1055","0,0137","1,0251","-23,45805441","-46,61385351","0,50000000",
15:51:26:770,"-0,1075","0,0147","1,0183","-23,45805441","-46,61385351","0,50000000",
15:51:26:927,"-0,0987","0,0156","1,0310","-23,45805441","-46,61385351","0,50000000",
15:51:27:085,"-0,1075","0,0156","1,0192","-23,45805441","-46,61385351","0,50000000",
15:51:27:243,"-0,1143","0,0147","1,0212","-23,45805441","-46,61385351","0,50000000",
15:51:27:400,"-0,1046","0,0147","1,0202","-23,45805441","-46,61385351","0,50000000",
15:51:27:558,"-0,1055","0,0156","1,0202","-23,45805441","-46,61385351","0,50000000",
15:51:27:656,"-0,1055","0,0156","1,0202","-23,45805441","-46,61385351","0,50000000",
15:51:27:718,"-0,1055","0,0166","1,0202","-23,45805441","-46,61385351","0,50000000",
15:51:27:874,"-0,1065","0,0156","1,0222","-23,45805441","-46,61385351","0,50000000",
15:51:28:031,"-0,1065","0,0166","1,0222","-23,45805441","-46,61385351","0,50000000",
15:51:28:189,"-0,1065","0,0166","1,0212","-23,45805441","-46,61385351","0,50000000",
15:51:28:347,"-0,1075","0,0166","1,0212","-23,45805441","-46,61385351","0,50000000",
15:51:28:507,"-0,1075","0,0176","1,0202","-23,45805441","-46,61385351","0,50000000",
15:51:28:662,"-0,1075","0,0176","1,0183","-23,45805441","-46,61385351","0,50000000",
15:51:28:820,"-0,1075","0,0186","1,0183","-23,45805441","-46,61385351","0,50000000",
15:51:28:916,"-0,1075","0,0186","1,0183","-23,45805441","-46,61385351","0,50000000",
15:51:28:977,"-0,1075","0,0176","1,0192","-23,45805441","-46,61385351","0,50000000",
15:51:29:135,"-0,1065","0,0156","1,0261","-23,45805441","-46,61385351","0,50000000",
15:51:29:293,"-0,1065","0,0156","1,0241","-23,45805441","-46,61385351","0,50000000",
15:51:29:453,"-0,1055","0,0156","1,0232","-23,45805441","-46,61385351","0,50000000",
15:51:29:768,"-0,1046","0,0147","1,0232","-23,45805441","-46,61385351","0,50000000",
15:51:29:909,"-0,1046","0,0147","1,0232","-23,45805441","-46,61385351","0,50000000",
15:51:30:081,"-0,1065","0,0166","1,0212","-23,45805441","-46,61385351","0,50000000",
15:51:30:239,"-0,1222","0,0156","1,0222","-23,45805441","-46,61385351","0,50000000",
15:51:30:397,"-0,1495","0,0078","1,0212","-23,45805441","-46,61385351","0,50000000",
15:51:30:554,"-0,1564","0,0059","1,0271","-23,45805441","-46,61385351","0,50000000",
15:51:30:643,"-0,1564","0,0059","1,0271","-23,45805441","-46,61385351","0,50000000",
15:51:30:712,"-0,1573","0,0039","1,0271","-23,45805441","-46,61385351","0,50000000",
15:51:30:800,"-0,1573","0,0039","1,0271","-23,45805441","-46,61385351","0,50000000",
15:51:30:870,"-0,1681","-0,0078","1,0290","-23,45805441","-46,61385351","0,50000000",
15:51:31:027,"-0,1681","-0,0195","1,0310","-23,45805441","-46,61385351","0,50000000",
15:51:31:062,"-0,1681","-0,0195","1,0310","-23,45805441","-46,61385351","0,50000000",
15:51:31:185,"-0,1749","-0,0264","1,0456","-23,45805441","-46,61385351","0,50000000",
15:51:31:273,"-0,1749","-0,0264","1,0456","-23,45805441","-46,61385351","0,50000000",
15:51:31:342,"-0,1730","-0,0391","1,0378","-23,45805441","-46,61385351","0,50000000",
15:51:31:500,"-0,1847","-0,0498","1,0505","-23,45805441","-46,61385351","0,50000000",
15:51:31:658,"-0,1847","-0,0596","1,0525","-23,45805441","-46,61385351","0,50000000",
15:51:31:815,"-0,1642","-0,0459","1,0544","-23,45805441","-46,61385351","0,50000000",
15:51:31:975,"-0,1007","-0,0186","1,0525","-23,45805441","-46,61385351","0,50000000",
15:51:32:131,"-0,0850","-0,0274","1,0388","-23,45805441","-46,61385351","0,50000000",
15:51:32:216,"-0,0850","-0,0274","1,0388","-23,45805441","-46,61385351","0,50000000",
15:51:32:294,"-0,1349","-0,0684","1,0456","-23,45805441","-46,61385351","0,50000000",
15:51:32:447,"-0,1270","-0,0362","1,0525","-23,45805441","-46,61385351","0,50000000",
15:51:32:481,"-0,1270","-0,0362","1,0525","-23,45805441","-46,61385351","0,50000000",
