time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
18:07:01:382,"0,0322","0,0020","0,9655","0,00000000","0,00000000","0,00000000",
18:07:01:691,"0,0332","0,0020","0,9665","0,00000000","0,00000000","0,00000000",
18:07:02:011,"0,0332","0,0020","0,9655","0,00000000","0,00000000","0,00000000",
18:07:02:490,"0,0332","0,0010","0,9655","0,00000000","0,00000000","0,00000000",
18:07:02:808,"0,0332","0,0010","0,9645","0,00000000","0,00000000","0,00000000",
18:07:02:968,"0,0322","0,0020","0,9635","0,00000000","0,00000000","0,00000000",
18:07:03:446,"0,0322","0,0020","0,9655","0,00000000","0,00000000","0,00000000",
18:07:03:606,"0,0322","0,0020","0,9645","0,00000000","0,00000000","0,00000000",
18:07:03:767,"0,0322","0,0039","0,9645","0,00000000","0,00000000","0,00000000",
18:07:03:929,"0,0322","0,0039","0,9626","0,00000000","0,00000000","0,00000000",
18:07:04:086,"0,0235","0,0117","0,9606","0,00000000","0,00000000","0,00000000",
18:07:04:247,"0,0332","0,0098","0,9606","0,00000000","0,00000000","0,00000000",
18:07:04:405,"0,0264","0,0088","0,9665","0,00000000","0,00000000","0,00000000",
18:07:04:565,"0,0078","0,0205","0,9596","0,00000000","0,00000000","0,00000000",
18:07:04:723,"0,0166","0,0098","0,9665","0,00000000","0,00000000","0,00000000",
18:07:04:882,"0,0410","0,0010","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:05:042,"0,0645","-0,0088","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:05:203,"0,0371","0,0029","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:05:361,"0,0303","0,0029","0,9587","-23,48093743","-46,60059066","0,25000000",
18:07:05:521,"0,0303","0,0039","0,9694","-23,48093743","-46,60059066","0,25000000",
18:07:05:681,"0,0303","0,0029","0,9675","-23,48093743","-46,60059066","0,25000000",
18:07:05:839,"0,0303","0,0029","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:05:999,"0,0313","0,0029","0,9675","-23,48093743","-46,60059066","0,25000000",
18:07:06:159,"0,0313","0,0020","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:06:318,"0,0313","0,0039","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:06:477,"0,0303","0,0039","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:06:637,"0,0303","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:06:795,"0,0303","0,0029","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:06:955,"0,0313","0,0020","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:07:271,"0,0313","0,0020","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:07:431,"0,0313","0,0020","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:07:750,"0,0303","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:07:912,"0,0303","0,0039","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:08:070,"0,0303","0,0039","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:08:229,"0,0303","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:08:390,"0,0303","0,0029","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:08:707,"0,0313","0,0020","0,9675","-23,48093743","-46,60059066","0,25000000",
18:07:08:870,"0,0313","0,0029","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:09:025,"0,0313","0,0020","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:09:187,"0,0313","0,0020","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:09:824,"0,0313","0,0010","0,9665","-23,48093743","-46,60059066","0,25000000",
18:07:09:988,"0,0313","0,0010","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:10:143,"0,0313","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:10:461,"0,0313","0,0029","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:10:783,"0,0313","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:10:943,"0,0303","0,0039","0,9626","-23,48093743","-46,60059066","0,25000000",
18:07:11:259,"0,0303","0,0029","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:11:419,"0,0313","0,0029","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:11:579,"0,0313","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:12:694,"0,0313","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:12:852,"0,0313","0,0029","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:13:173,"0,0303","0,0029","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:13:330,"0,0303","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:13:650,"0,0293","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:13:809,"0,0303","0,0039","0,9626","-23,48093743","-46,60059066","0,25000000",
18:07:13:969,"0,0303","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:14:289,"0,0303","0,0039","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:14:449,"0,0313","0,0029","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:14:608,"0,0313","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:14:768,"0,0303","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:15:092,"0,0293","0,0049","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:15:407,"0,0313","0,0068","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:15:884,"0,0313","0,0059","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:16:044,"0,0313","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:16:522,"0,0313","0,0029","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:16:684,"0,0313","0,0029","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:17:001,"0,0303","0,0039","0,9635","-23,48093743","-46,60059066","0,25000000",
18:07:17:160,"0,0303","0,0029","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:17:479,"0,0303","0,0020","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:17:638,"0,0322","0,0010","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:17:795,"0,0313","0,0029","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:18:114,"0,0313","0,0049","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:18:274,"0,0313","0,0039","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:18:435,"0,0313","0,0020","0,9645","-23,48093743","-46,60059066","0,25000000",
18:07:18:911,"0,0313","0,0020","0,9655","-23,48093743","-46,60059066","0,25000000",
18:07:19:071,"0,0313","0,0010","0,9675","-23,48093743","-46,60059066","0,25000000",
