time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
15:22:12:891,"-0,1564","0,0479","0,9860","0,00000000","0,00000000","0,00000000",
15:22:13:041,"-0,1554","0,0479","0,9860","0,00000000","0,00000000","0,00000000",
15:22:13:055,"-0,1554","0,0479","0,9860","0,00000000","0,00000000","0,00000000",
15:22:13:212,"-0,1554","0,0479","0,9860","0,00000000","0,00000000","0,00000000",
15:22:13:357,"-0,1564","0,0479","0,9870","0,00000000","0,00000000","0,00000000",
15:22:13:516,"-0,1554","0,0469","0,9870","0,00000000","0,00000000","0,00000000",
15:22:13:673,"-0,1554","0,0489","0,9870","0,00000000","0,00000000","0,00000000",
15:22:13:735,"-0,1554","0,0489","0,9870","0,00000000","0,00000000","0,00000000",
15:22:13:831,"-0,1544","0,0469","0,9870","0,00000000","0,00000000","0,00000000",
15:22:13:893,"-0,1544","0,0469","0,9870","0,00000000","0,00000000","0,00000000",
15:22:13:990,"-0,1564","0,0469","0,9860","0,00000000","0,00000000","0,00000000",
15:22:14:105,"-0,1564","0,0469","0,9860","0,00000000","0,00000000","0,00000000",
15:22:14:148,"-0,1554","0,0479","0,9880","0,00000000","0,00000000","0,00000000",
15:22:14:306,"-0,1554","0,0469","0,9880","0,00000000","0,00000000","0,00000000",
15:22:14:416,"-0,1554","0,0469","0,9880","0,00000000","0,00000000","0,00000000",
15:22:14:464,"-0,1622","0,0479","0,9870","0,00000000","0,00000000","0,00000000",
15:22:14:623,"-0,1534","0,0479","0,9860","0,00000000","0,00000000","0,00000000",
15:22:14:780,"-0,1612","0,0489","0,9850","0,00000000","0,00000000","0,00000000",
15:22:14:940,"-0,1593","0,0489","0,9850","0,00000000","0,00000000","0,00000000",
15:22:14:995,"-0,1593","0,0489","0,9850","0,00000000","0,00000000","0,00000000",
15:22:15:100,"-0,1583","0,0489","0,9831","0,00000000","0,00000000","0,00000000",
15:22:15:258,"-0,1583","0,0489","0,9821","0,00000000","0,00000000","0,00000000",
15:22:15:416,"-0,1573","0,0489","0,9841","0,00000000","0,00000000","0,00000000",
15:22:15:574,"-0,1573","0,0498","0,9841","0,00000000","0,00000000","0,00000000",
15:22:15:731,"-0,1300","0,0557","0,9733","0,00000000","0,00000000","0,00000000",
15:22:15:888,"-0,1388","0,0557","0,9948","0,00000000","0,00000000","0,00000000",
15:22:16:047,"-0,1456","0,0537","0,9880","0,00000000","0,00000000","0,00000000",
15:22:16:149,"-0,1456","0,0537","0,9880","0,00000000","0,00000000","0,00000000",
15:22:16:206,"-0,1329","0,0537","0,9880","0,00000000","0,00000000","0,00000000",
15:22:16:364,"-0,1231","0,0547","0,9802","0,00000000","0,00000000","0,00000000",
15:22:16:509,"-0,1231","0,0547","0,9802","0,00000000","0,00000000","0,00000000",
